Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity,mrp_rupees,selling_price_rupees,savings,discount_category,stock_status,price_category,weight_category,quantity_category,sku_id
Munchies,Top Ramen  Noodles Curry Veg Pouch,2000,0,1,2000,70,False,70,20.0,20.0,0.0,No Discount,Low Stock,Budget,Light,Bulk Pack,646
Munchies,Popular Essentials Refined Sugar,6000,0,6,6000,1000,False,1,60.0,60.0,0.0,No Discount,In Stock,Affordable,Heavy,Single,647
Munchies,Fortune Kachi Ghani Mustard Oil Bottle,21600,7,6,19900,1000,False,1,216.0,199.0,17.0,Low Discount,In Stock,Affordable,Heavy,Single,648
Munchies,Saffola Veggie Twist Masala Oats,1500,0,6,1500,38,False,38,15.0,15.0,0.0,No Discount,In Stock,Budget,Light,Bulk Pack,649
Munchies,Satyam Puffed Rice Kurmura (R),2300,0,6,2300,200,False,200,23.0,23.0,0.0,No Discount,In Stock,Budget,Light,Bulk Pack,650
Munchies,Quaker Oats,7900,0,2,7900,400,False,400,79.0,79.0,0.0,No Discount,Low Stock,Affordable,Medium,Bulk Pack,651
Munchies,Aashirvaad Select Sharbati Atta,31500,10,6,28300,5000,False,5,315.0,283.0,32.0,Low Discount,In Stock,Mid-Range,Bulk,Medium Pack,652
Munchies,Popular Essentials Refined Sugar,29500,10,6,26500,5000,False,5,295.0,265.0,30.0,Low Discount,In Stock,Mid-Range,Bulk,Medium Pack,653
Munchies,Gowardhan Cow Ghee Pouch,57900,10,6,52100,1000,False,1,579.0,521.0,58.0,Low Discount,In Stock,Premium,Heavy,Single,654
Munchies,Dhara Nourish Refined Sunflower Oil Pouch,21000,5,6,19900,1000,False,1,210.0,199.0,11.0,Low Discount,In Stock,Affordable,Heavy,Single,655
Munchies,Parachute Oil ,4000,7,3,3700,100,False,100,40.0,37.0,3.0,Low Discount,Low Stock,Budget,Light,Bulk Pack,656
Munchies,Popular Essentials Plain Puffed Rice (Murmura/Muri),1800,0,6,1800,100,False,100,18.0,18.0,0.0,No Discount,In Stock,Budget,Light,Bulk Pack,657
Munchies,Amul Mithai Mate Condensed Sweetened Milk,5600,3,4,5400,200,False,200,56.0,54.0,2.0,Low Discount,Low Stock,Affordable,Light,Bulk Pack,658
Munchies,Saffola Gold (Jar),124000,0,6,124000,5000,False,5,1240.0,1240.0,0.0,No Discount,In Stock,High-End,Bulk,Medium Pack,659
Munchies,McCain New Mini Samosa with Cheese Pizza Style Filling,12000,1,3,11800,240,False,240,120.0,118.0,2.0,Low Discount,Low Stock,Affordable,Light,Bulk Pack,660
Munchies,Fortune Rice Bran Health Oil (Jar),105000,1,6,103900,5000,False,5,1050.0,1039.0,11.0,Low Discount,In Stock,High-End,Bulk,Medium Pack,661
Munchies,Arden Desi Eggs,11000,13,4,9500,348,False,6,110.0,95.0,15.0,Medium Discount,Low Stock,Affordable,Medium,Large Pack,662
Munchies,Fortune Rozana Basmati Rice,58500,21,6,46200,5000,False,5,585.0,462.0,123.0,Medium Discount,In Stock,Mid-Range,Bulk,Medium Pack,663
Munchies,Fortune Biriyani Special Basmati Rice,17500,0,5,17500,1000,False,1,175.0,175.0,0.0,No Discount,Low Stock,Affordable,Heavy,Single,664
Munchies,Everest Garam Masala,7800,7,5,7200,100,False,100,78.0,72.0,6.0,Low Discount,Low Stock,Affordable,Light,Bulk Pack,665
Munchies,Popular Essentials Pumpkin Seeds,9000,16,6,7500,100,False,100,90.0,75.0,15.0,Medium Discount,In Stock,Affordable,Light,Bulk Pack,666
Munchies,Fortune Soya Health Refined Soybean Oil,21000,1,2,20600,1000,False,1,210.0,206.0,4.0,Low Discount,Low Stock,Mid-Range,Heavy,Single,667
Munchies,Gowardhan Pure Ghee Pouch,29500,4,6,28100,500,False,500,295.0,281.0,14.0,Low Discount,In Stock,Mid-Range,Medium,Bulk Pack,668
Munchies,Popular Essentials Jeera/Cumin Seeds,4000,5,3,3800,100,False,100,40.0,38.0,2.0,Low Discount,Low Stock,Budget,Light,Bulk Pack,669
Munchies,Weikfield Baking Soda,3000,3,6,2900,100,False,100,30.0,29.0,1.0,Low Discount,In Stock,Budget,Light,Bulk Pack,670
Munchies,Everest Pav Bhaji Masala,3700,10,4,3300,50,False,50,37.0,33.0,4.0,Low Discount,Low Stock,Budget,Light,Bulk Pack,671
Munchies,Tata Sampann Unpolished Chana Dal,9500,6,2,8900,1000,False,500,95.0,89.0,6.0,Low Discount,Low Stock,Affordable,Heavy,Bulk Pack,672
Munchies,Amul Mithai Mate EOE Tin,11200,2,6,10900,400,False,400,112.0,109.0,3.0,Low Discount,In Stock,Affordable,Medium,Bulk Pack,673
Munchies,Pillsbury Chakki Fresh Atta,45000,16,6,37500,10000,False,10,450.0,375.0,75.0,Medium Discount,In Stock,Mid-Range,Bulk,Large Pack,674
Munchies,Everest Chicken Masala,3900,2,1,3800,50,False,50,39.0,38.0,1.0,Low Discount,Low Stock,Budget,Light,Bulk Pack,675
Munchies,Dhara Life Refined Ricebran Oil (Pouch),20500,7,6,19000,1000,False,1,205.0,190.0,15.0,Low Discount,In Stock,Affordable,Heavy,Single,676
Munchies,Borges Extra Virgin Olive Oil,40000,25,1,29900,250,False,250,400.0,299.0,101.0,Medium Discount,Low Stock,Mid-Range,Light,Bulk Pack,677
Munchies,Everest Shahi Biryani Masala,7000,14,6,6000,50,False,50,70.0,60.0,10.0,Medium Discount,In Stock,Affordable,Light,Bulk Pack,678
Munchies,Popular Essentials Californian Almond,35000,28,6,25100,250,False,250,350.0,251.0,99.0,High Discount,In Stock,Mid-Range,Light,Bulk Pack,679
Munchies,Popular Essentials Ajwain Whole,2500,0,4,2500,50,False,50,25.0,25.0,0.0,No Discount,Low Stock,Budget,Light,Bulk Pack,680
Munchies,Everest Tikhalal Chilli Powder,23500,9,6,21200,500,False,500,235.0,212.0,23.0,Low Discount,In Stock,Mid-Range,Medium,Bulk Pack,681
Munchies,Popular Essentials Kabuli Chana Regular,8500,9,6,7700,500,False,500,85.0,77.0,8.0,Low Discount,In Stock,Affordable,Medium,Bulk Pack,682
Munchies,Pillsbury Chakki Fresh Atta,5200,0,4,5200,1000,False,1,52.0,52.0,0.0,No Discount,Low Stock,Affordable,Heavy,Single,683
Munchies,Popular Essentials Saunf/Fennel Seeds,4500,2,6,4400,100,False,100,45.0,44.0,1.0,Low Discount,In Stock,Budget,Light,Bulk Pack,684
Munchies,Popular Essentials Bansi Sooji,3500,2,3,3400,500,False,500,35.0,34.0,1.0,Low Discount,Low Stock,Budget,Medium,Bulk Pack,685
Munchies,Happilo Premium International Queen Kalmi Dates,24500,29,6,17200,200,False,200,245.0,172.0,73.0,High Discount,In Stock,Affordable,Light,Bulk Pack,686
Munchies,Tata Sampann Unpolished Urad Whole,10100,6,4,9400,500,False,500,101.0,94.0,7.0,Low Discount,Low Stock,Affordable,Medium,Bulk Pack,687
